Time,Lat,Lon,Roll,Pitch,Yaw,Hight,PWM1,PWM2
0,2,0,-0.932013,-0.180838,0.783314,0,0,3
0,2,0,-1.69969,-0.49934,1.67386,0,0,3
0,2,0,-2.401109,-0.81006,2.615226,0,0,3
0,2,0,-3.173694,-1.090735,3.503288,0,0,3
0,2,0,-3.68886,-1.273876,4.581749,0,0,3
0,2,0,-4.308183,-1.402764,5.605632,0,0,3
0,2,0,-4.598281,-1.482083,6.770778,0,0,3
0,2,0,-4.9458,-1.565252,7.914423,0,0,3
0,2,0,-5.258559,-1.680671,9.059342,0,0,3
0,2,0,-5.393487,-1.775322,10.239011,0,0,3
0,2,0,-5.439287,-1.820103,11.42573,0,0,3
0,2,0,-5.185762,-1.865348,12.594948,0,0,3
0,2,0,-4.948876,-1.740141,13.750106,0,0,3
0,2,0,-4.882346,-1.734104,14.914618,0,0,3
0,2,0,-4.710403,-1.726263,16.067097,0,0,3
0,2,0,-4.467352,-1.703321,17.194538,0,0,3
0,2,0,-4.148079,-1.540744,18.286558,0,0,3
0,2,0,-4.124666,-1.529559,19.403046,0,0,3
0,2,0,-3.849513,-1.471295,20.484293,0,0,3
0,2,0,-3.696426,-1.465452,21.5707,0,0,3
0,2,0,-3.233714,-1.285132,22.550301,0,0,3
0,2,0,-2.684971,-1.049128,23.44677,0,0,3
0,2,0,-2.761306,-1.179557,24.476944,0,0,3
0,2,0,-2.605449,-1.08286,25.482334,0,0,3
0,2,0,-2.245626,-1.018262,26.40258,0,0,3
0,2,0,-2.048374,-0.860355,27.302435,0,0,3
0,2,0,-2.152063,-1.001833,28.24906,0,0,3
0,2,0,-1.655172,-0.632593,28.958094,0,0,3
0,2,0,-1.581664,-0.533698,29.835421,0,0,3
0,2,0,-1.352926,-0.613527,30.619274,0,0,3
0,2,0,-0.839725,-0.141232,31.050385,0,0,3
0,2,0,-0.989898,-0.312396,31.818008,0,0,3
0,2,0,-1.0878,-0.337561,32.573742,0,0,3
0,2,0,-0.905256,-0.231568,33.166363,0,0,3
0,2,0,-0.72043,-0.282546,33.720043,0,0,3
0,2,0,-0.721102,-0.258392,34.333378,0,0,3
0,2,0,-0.891625,-0.397297,35.046535,0,0,3
0,2,0,-0.565779,-0.188381,35.546822,0,0,3
0,2,0,-0.411896,0.422596,35.626957,0,0,3
0,2,0,-0.31749,0.173651,36.079132,0,0,3
0,2,0,-0.607374,0.11238,36.585003,0,0,3
0,2,0,-0.454138,-0.013005,37.004925,0,0,3
0,2,0,0.075485,0.206446,36.871971,0,0,3
0,2,0,0.039713,0.364488,37.112251,0,0,3
0,2,0,-0.410762,0.095314,37.565308,0,0,3
0,2,0,-0.030781,0.320801,37.6744,0,0,3
0,2,0,0.011767,0.708733,37.565239,0,0,3
0,2,0,-0.218284,0.516358,37.916908,0,0,3
0,2,0,-0.242264,0.426142,38.179214,0,0,3
0,2,0,-0.003927,0.086075,38.381187,0,0,3
0,2,0,0.115579,0.195512,38.551132,0,0,3
0,2,0,0.163065,0.3479,38.668621,0,0,3
0,2,0,0.277702,0.896239,38.269447,0,0,3
0,2,0,0.03048,0.292305,38.630241,0,0,3
0,2,0,0.40222,0.654106,38.389553,0,0,3
0,2,0,0.321125,0.675125,38.321495,0,0,3
0,2,0,0.030774,0.355364,38.493973,0,0,3
0,2,0,0.460562,0.788246,37.97028,0,0,3
0,2,0,0.03,0.345685,38.357578,0,0,3
0,2,0,0.461983,0.503977,37.962025,0,0,3
0,2,0,0.160926,0.435456,37.766788,0,0,3
0,2,0,-0.070526,0.115006,37.984707,0,0,3
0,2,0,0.448619,0.705095,37.552345,0,0,3
0,2,0,0.055069,0.27383,37.756741,0,0,3
0,2,0,-0.287689,0.366511,37.970001,0,0,3
0,2,0,-0.470792,0.410881,38.255527,0,0,3
0,2,0,0.079752,0.475331,38.174789,0,0,3
0,2,0,-0.319914,0.165914,38.526184,0,0,3
0,2,0,0.023362,0.544776,38.274117,0,0,3
0,2,0,-0.036085,0.620037,38.152321,0,0,3
0,2,0,0.212793,0.53731,38.124779,0,0,3
0,2,0,-0.135292,0.183227,38.458752,0,0,3
0,2,0,0.451609,-0.768804,38.469841,0,0,3
0,2,0,1.074999,-1.040203,38.48843,0,0,3
0,2,0,0.14002,-0.542553,38.299553,0,0,3
0,2,0,0.010218,0.469864,38.410511,0,0,3
0,2,0,-0.126693,0.394701,38.780994,0,0,3
0,2,0,0.258154,1.30658,38.11412,0,0,3
0,2,0,0.405616,1.328241,37.79438,0,0,3
0,2,0,0.092085,1.535446,37.300499,0,0,3
0,2,0,0.191985,0.556711,37.138115,0,0,3
0,2,0,0.969849,0.699384,36.313358,0,0,3
0,2,0,0.385997,1.153473,35.659531,0,0,3
